"Repository","https://github.com/allourideas/allourideas.org.git"
"Precision mean (RT)","0.0"
"Precision median (RT)","0.0"
"Precision standard deviation (RT)","0.0"
"Recall mean (RT)","0.0"
"Recall median (RT)","0.0"
"Recall standard deviation (RT)","0.0"
"F2 mean (RT)","0.0"
"F2 median (RT)","0.0"
"F2 standard deviation (RT)","0.0"
"Correlation #Test-Precision","null"
"Correlation #Test-Recall","null"
"Task","Dates","#Devs","#Commits","Hashes","#Gherkin_Tests","#Sted_defs","#TestI","#TaskI","TestI","TaskI","Precision","Recall","Rails","#visit_call","Lost_visit_call","#Views_TestI","#Code_View_Analysis","Code_View_Analysis","Methods_Unknown_Type","Renamed_Files","Deleted_Files","NotFound_Views","#NotFound_Views","Timestamp","Has_Merge","#FP","#FN","FP","FN","#Hits","Hits","f2"
"8","[26-01-2017, 27-01-2017]","1","5","[30e624cf953d265b6cb3f8ac6d09aaf3d8ec2626, 79e76bf5d4dbc9d99bbb437473167d7de8d1b2f6, 963c6a9945eb549e1c9deae7dc1f13b9161f2cd5, 72296eea29772c1c97c224919d2c7102b940d7c9, 6333d33f36135a2914775d457939183b8adf8828]","8","0","2","10","[app\views\abingo_dashboard\_experiment_row.html.haml, app\views\abingo_dashboard\index.html.haml]","[app\controllers\questions_controller.rb, app\views\earls\show.html.haml, app\views\questions\admin.html.haml, app\views\widget\earls\_cast_votes.html.haml, config\locales\allourideas\en.yml, db\migrate\20161202144215_add_show_add_new_idea_to_earls.rb, db\schema.rb, features\admin\add_idea.feature, features\admin\cant_decide.feature, db\migrate\20161202142726_add_show_cant_decide_to_earls.rb]","0.0","0.0","2.3.18","3","[]","2","2","[app\views\abingo_dashboard\_experiment_row.html.haml, app\views\abingo_dashboard\index.html.haml]","[click_button, uncheck, page, have_content, has_content?, have_no_content, has_no_content?, page, have_css, within, url_for]","","[]","","0","1.644 seconds","false","2","10","[app\views\abingo_dashboard\_experiment_row.html.haml, app\views\abingo_dashboard\index.html.haml]","[app\controllers\questions_controller.rb, app\views\earls\show.html.haml, app\views\questions\admin.html.haml, app\views\widget\earls\_cast_votes.html.haml, config\locales\allourideas\en.yml, db\migrate\20161202144215_add_show_add_new_idea_to_earls.rb, db\schema.rb, features\admin\add_idea.feature, features\admin\cant_decide.feature, db\migrate\20161202142726_add_show_cant_decide_to_earls.rb]","0","[]","0.0"
"11","[11-08-2014, 12-09-2014, 30-09-2014]","1","4","[bb7c51680c8f370558c190d665e8bd3311e17f2e, 83819ce8ac222cddbd37257a230032354d7bcaee, a518cd766d0b734c5d90fc241e3b0c6aee3b30e4, 09031a7a5d44786ded6e04b34d01ac1692e8655d]","3","0","8","7","[app\models\choice.rb, app\models\density.rb, app\models\earl.rb, app\models\prompt.rb, app\models\question.rb, app\models\session.rb, app\views\abingo_dashboard\_experiment_row.html.haml, app\views\abingo_dashboard\index.html.haml]","[features\voting\add_idea.feature, app\views\idea_mailer\notification.text.plain.erb, app\views\idea_mailer\notification_for_active.text.plain.erb, config\locales\allourideas\en.yml, app\views\idea_mailer\notification.text.html.erb, app\controllers\questions_controller.rb, app\models\idea_mailer.rb]","0.0","0.0","2.3.18","3","[]","2","2","[app\views\abingo_dashboard\_experiment_row.html.haml, app\views\abingo_dashboard\index.html.haml]","[user, email, has_css?, click, page, have_content, has_content?, have_no_content, has_no_content?, have_css, within, url_for, reset_mailer, unread_emails_for, parse_email_count, open_email, current_email, have_subject, body, click_first_link_in_email, save]","","[]","","0","0.850 seconds","false","8","7","[app\models\choice.rb, app\models\density.rb, app\models\earl.rb, app\models\prompt.rb, app\models\question.rb, app\models\session.rb, app\views\abingo_dashboard\_experiment_row.html.haml, app\views\abingo_dashboard\index.html.haml]","[features\voting\add_idea.feature, app\views\idea_mailer\notification.text.plain.erb, app\views\idea_mailer\notification_for_active.text.plain.erb, config\locales\allourideas\en.yml, app\views\idea_mailer\notification.text.html.erb, app\controllers\questions_controller.rb, app\models\idea_mailer.rb]","0","[]","0.0"
